,Families,Incidence
704,AA15+CBM14+GH18,7
705,GH158+GH16,7
706,CBM23+CBM27+CBM54+GH26,7
707,CBM8+GH5,7
708,CBM9+GH16,7
709,AA1+CBM20,7
710,GH146+GH43,7
711,CBM0+CBM32+GH84,7
712,CBM3+GH10+GH5,6
713,CBM3+GH44+GH5,6
714,CBM17+GH5,6
715,CBM55+GH18,6
716,CBM11+CBM30+GH51,6
717,GH8+GT2,6
718,CBM35+PL10,6
719,CBM85+GH5,6
720,CBM30+CBM44+GH44+GH9,6
721,CBM13+CBM6+CBM62+GH5,6
722,CBM32+GH173,6
723,CBM8+GH51,6
724,CBM92+GH55,6
725,CBM32+GH18,6
726,CBM10+CBM2+GH74,6
727,CBM2+CBM35+CE0,6
728,CBM2+CBM35+GH62,6
729,CBM6+GH19,6
730,CBM32+GH28,6
731,CBM44+GH44,6
732,CBM32+CBM6+GH3,6
733,CBM92+GH54,6
734,CBM6+GH55,6
735,CBM13+CBM42+GH93,6
736,CBM2+GH2,6
737,CBM2+CE1+GH10,6
738,CBM2+CBM6,6
739,CBM32+CBM6+GH81,6
740,CBM57+GH55,6
741,CBM6+PL1,6
742,CE0+CE15,6
743,CBM32+CE3,6
744,CE4+GH0+GT2,6
745,GH158+GH26+GT2,6
746,CBM1+CBM91+GH43,6
747,CBM0+GH2,6
748,CBM13+GH49,6
749,AA10+CBM12+GH18,6
750,GH18+GH27,6
751,CBM2+CBM60+CE0,6
752,GT111+GT2,6
753,CBM23+CBM61+GH5,6
754,CBM13+GH89,6
755,CBM36+CBM6+GH8,6
756,CBM13+CBM35+GH39,6
757,CBM6+GH116,6
758,AA5+CBM42,6
759,CBM35+CE8+PL10,6
760,GH0+GH39,6
761,CBM1+CE3,6
762,CBM66+GH51,6
763,CBM22+CBM86+CBM9+GH10,6
764,CBM1+PL4,6
765,CBM2+CE12,6
766,CBM32+GH78,6
767,CBM32+CE12,6
768,CBM3+GH44,5
769,CBM22+CE4+GH11,5
770,CBM76+GH44,5
771,PL1,5
772,CBM0+GH33,5
773,CBM9+CE15,5
774,CBM3+CBM4,5
775,CBM42+GH30+GH43,5
776,CBM57+GH26,5
777,CBM32+CBM92+GH5,5
778,CBM10+CBM60+CE15,5
779,CBM2+CBM35+GH10,5
780,CBM3+PL11,5
781,CBM3+GH48+GH74,5
782,CBM32+GH99,5
783,CBM13+CBM2+GH10,5
784,GH0+GH33,5
785,CBM13+GH32,5
786,CBM2+GH26,5
787,CBM91+CE6+GH43,5
788,CBM61+GH99,5
789,CBM61+GH30,5
790,GT101+GT113,5
791,GH19+GH23,5
792,CBM23+CBM59+GH26,5
793,CBM35+CBM9+PL0,5
794,CBM78+GH5,5
795,CBM3+PL1,5
796,CBM32+CBM6+GH16,5
797,CBM57+GH92,5
798,CBM25+CBM26+CBM35+GH13,5
799,CBM67+GH35,5
800,CBM32+GH9,5
801,CBM47+CBM6,5
802,CBM22+CBM51+GH101,5
803,CBM13+GH86,5
804,CBM84+GH39,5
805,CBM13+GH87,5
806,CBM32+CBM47+GH53,5
807,CBM5+GH18+GH19,5
808,CBM32+GH59,5
809,CBM6+GH26,5
810,CBM35+GH65,5
811,CBM6+CBM88,5
812,CBM57+GH11,5
813,CBM16+PL31,5
814,CBM26+GH119,5
815,GT2+GT52,5
816,CBM35+CBM61+GH27,5
817,CBM3+GH16,5
818,CBM16+GH51,5
819,CBM5+GH33,5
820,CBM16+GH0,5
821,GH0+GT4,5
822,GH3+GH30,5
823,GH29+GH43,5
824,CBM82+GH13,5
825,CBM26+CBM74,5
826,CBM79+GH5,5
827,AA15+GH18,5
828,CBM50+CBM66,5
829,GH2+GH20,5
830,CBM66+GH16,5
831,CBM0+GH101,5
832,CBM0+GH3,5
833,CBM25+GH14,4
834,CBM37+GH5,4
835,CBM2+CBM35+PL11,4
836,CBM6+CBM81+GH5,4
837,CBM2+CBM22+CBM6+GH10+GH43,4
838,CBM32+CBM4+CBM54+GH16,4
839,CBM35+PL1+PL9,4
840,CBM10+CBM5+GH5+GH6,4
841,CE15+GH10,4
842,CBM2+CBM35+GH98,4
843,CBM11+GH5,4
844,CBM3+GH10+GH48,4
845,CBM3+GH5+GH9,4
846,GH10+GH9,4
847,CBM2+CBM35+CE8,4
848,CBM6+CBM61+GH30,4
849,GT0+GT41,4
850,CBM92+GH3,4
851,CBM32+CBM56+GH16,4
852,CBM35+GH75,4
853,CBM66+GH28,4
854,CBM35+CE8,4
855,CBM4+CE1,4
856,CBM6+GH95,4
857,CBM13+CBM2+GH30,4
858,CBM4+GH11,4
859,CBM32+CBM61+GH53,4
860,CBM64+GH12,4
861,CBM64+GH10,4
862,CBM22+CBM37+GH10,4
863,GH0+GH28,4
864,CBM22+GH5,4
865,CBM13+CBM2+CBM6+GH43,4
866,CBM22+CBM6+GH30,4
867,GT0+GT9,4
868,CBM13+GH47,4
869,CBM2+CE4+GH10,4
870,GH141+GH2,4
871,CBM4+CE15,4
872,CBM12+GH5,4
873,GH78+PL8,4
874,GH3+GH89,4
875,CBM13+GH136,4
876,CBM5+PL31,4
877,CBM5+PL11,4
878,GT42+GT8,4
879,CBM32+CBM66+GH43,4
880,CBM32+CBM51+GH101,4
881,CBM6+CE8+PL1,4
882,GH28+PL9,4
883,GH0+GH73,4
884,CBM2+CBM22+GH62,4
885,GH3+GH78,4
886,CBM32+GH16+PL7,4
887,CBM91+GH2,4
888,CBM13+GH28,4
889,CBM0+GH0,4
890,CBM35+CE3,4
891,CBM0+GH18,4
892,CBM13+CE15,4
893,CBM0+CBM13+GH27,4
894,GH0+GH94,4
895,CBM35+GH9,4
896,CBM54+GH163,4
897,CBM32+GH140,4
898,CBM92+GH0,4
899,CBM80+GH5,4
900,CBM26+CBM48+GH13,4
901,CBM1+GH27,4
902,CBM13+GH31,4
903,PL0+PL32,4
904,CBM35+CBM78+GH26,4
905,CBM50+GH39,4
906,CBM18+CBM24+CBM50+GH18,4
907,CBM1+GH43,4
908,AA15+GH19,4
909,CE6+GH51,4
910,AA16+CBM1,4
911,CBM51+GH89,4
912,CBM47+GH84,4
913,CBM5+CE0+GH18,4
914,CBM18+GH0,4
915,CBM5+CBM6+GH18,4
916,GT2+GT44,4
917,CBM5+GH12,4
918,CBM3+GH12,4
919,CE8+GH43,4
920,CBM4+GH173,4
921,CBM25+GH119,4
922,CBM0+CBM13,4
923,CBM50+CE0,4
924,CBM0+CBM35+GH2,4
925,GT4+GT94,4
926,CBM84+GH33,4
927,CBM0+GH107,4
928,CBM67+GH33+GH78,4
929,CBM13+GH110,4
930,PL5+PL7,3
931,CBM22+CBM5+CBM9+GH10,3
932,CE4+GH11,3
933,CBM12+CBM6+GH18,3
934,CBM22+CE0+GH11,3
935,GH10+GH11,3
936,CBM22+CBM37+GH11,3
937,AA8+CBM1,3
938,CBM13+CBM35+GH97,3
939,CBM12+CBM32,3
940,CBM2+CBM57,3
941,CBM6+PL0,3
942,CBM10+CBM2,3
943,PL6+PL7,3
944,CBM51+CBM6,3
945,CBM88+PL11,3
946,CBM22+GH146,3
947,CBM6+GH59,3
948,CBM2+CBM3+GH12+GH6,3
949,CBM2+PL14,3
950,CBM0+CBM13+GH43,3
951,CE0+CE6,3
952,CBM48+GH57,3
953,CBM35+GH15,3
954,CBM86+GH10,3
955,CBM77+PL1+PL9,3
956,CBM6+GH29,3
957,CBM59+GH10,3
958,GT30+GT9,3
959,CBM6+GH62,3
960,CBM6+CE6+GH62,3
961,CBM32+CBM6+GH95,3
962,CBM57+CE15,3
963,CBM13+CBM32+GH16,3
964,GT116+GT2,3
965,CBM6+GH39,3
966,CBM57+GH18,3
967,CBM2+CBM65+GH5,3
968,CBM13+CBM2+CE0,3
969,CBM9+GH5,3
970,CBM66+PL11,3
971,CBM27+CE20,3
972,CBM48+GH10,3
973,CBM42+GH76,3
974,CBM61+GH18,3
975,CBM35+GH121,3
976,CBM22+CBM37+GH30,3
977,CBM22+CBM37+CE4+GH11,3
978,CBM23+CBM27+CBM59+GH26,3
979,CBM35+CBM57,3
980,GH154+GH16,3
